param wind_avail : A	B	C	D	E	F	G	H	I	J	K :=
69	0.771	0.801	0.19	0.817	0.581	0.0	0.0	0.0	0.0	0.053	0.053
70	0.932	0.712	0.11	0.86	0.623	0.0	0.0	0.0	0.0	0.107	0.196
71	0.915	0.608	0.115	0.498	0.613	0.0	0.0	0.0	0.0	0.239	0.154
72	0.802	0.643	0.092	0.706	0.571	0.0	0.0	0.0	0.0	0.411	0.255
73	0.688	0.51	0.052	0.813	0.483	0.0	0.0	0.0	0.0	0.666	0.761
74	0.357	0.371	0.11	0.454	0.367	0.0	0.0	0.0	0.0	0.984	0.866
75	0.433	0.49	0.215	0.278	0.237	0.0	0.0	0.0	0.0	1.0	0.997
76	0.57	0.337	0.256	0.148	0.127	0.0	0.0	0.0	0.0	1.0	1.0
77	0.37	0.278	0.216	0.068	0.051	0.0	0.0	0.0	0.0	1.0	1.0
78	0.292	0.515	0.304	0.001	0.099	0.0	0.0	0.0	0.0	1.0	1.0
79	0.318	0.798	0.362	0.0	0.088	0.0	0.0	0.0	0.0	0.987	0.999
80	0.509	0.876	0.615	0.0	0.258	0.0	0.0	0.0	0.0	0.998	1.0
81	0.819	0.842	0.565	0.045	0.099	0.0	0.0	0.0	0.0	0.0	0.0
82	0.965	0.947	0.895	0.037	0.334	0.0	0.0	0.0	0.0	0.0	0.0
83	0.853	0.852	0.832	0.114	0.351	0.0	0.0	0.0	0.0	0.0	0.0
84	0.952	0.727	0.864	0.129	0.151	0.0	0.0	0.0	0.0	0.0	0.0
85	0.96	0.674	0.803	0.113	0.231	0.0	0.0	0.0	0.0	0.0	0.0
86	0.921	0.92	0.856	0.031	0.354	0.0	0.0	0.0	0.0	0.0	0.0
87	0.874	0.902	0.967	0.095	0.814	0.0	0.0	0.0	0.0	0.0	0.0
88	0.971	0.989	0.999	0.045	0.916	0.0	0.0	0.0	0.0	0.0	0.0
89	0.996	0.999	1.0	0.185	0.92	0.0	0.0	0.0	0.0	0.0	0.0
90	0.999	0.999	1.0	0.714	0.982	0.0	0.0	0.0	0.0	0.0	0.0
91	0.999	0.999	1.0	0.931	0.999	0.0	0.0	0.0	0.0	0.0	0.0
92	0.999	0.999	0.999	0.994	0.997	0.0	0.0	0.0	0.0	0.0	0.0
93	0.999	0.999	1.0	0.992	0.997	0.0	0.0	0.0	0.0	0.517	0.0
94	1.0	0.999	1.0	0.994	0.987	0.0	0.0	0.0	0.0	1.0	0.0
95	0.999	0.998	1.0	0.995	0.973	0.0	0.0	0.0	0.0	0.999	0.127
96	0.999	0.997	1.0	0.997	0.98	0.0	0.0	0.0	0.0	1.0	0.999
97	0.999	0.999	0.999	0.997	0.989	0.0	0.0	0.0	0.0	1.0	1.0
98	0.999	0.999	1.0	0.999	0.986	0.0	0.0	0.0	0.0	1.0	1.0
99	0.999	0.999	1.0	0.999	0.983	0.0	0.0	0.0	0.0	0.999	1.0
100	0.998	0.999	1.0	0.999	0.984	0.0	0.0	0.0	0.0	1.0	1.0
101	0.999	0.999	1.0	0.999	0.943	0.0	0.0	0.0	0.0	1.0	1.0
102	0.997	0.999	1.0	0.999	0.876	0.0	0.0	0.0	0.0	1.0	1.0
103	0.999	1.0	1.0	1.0	0.943	0.0	0.0	0.0	0.0	1.0	1.0
104	0.99	1.0	1.0	1.0	0.967	0.0	0.0	0.0	0.0	1.0	0.999
105	0.991	0.999	1.0	1.0	0.985	0.0	0.0	0.0	0.0	1.0	1.0
106	0.999	0.999	1.0	1.0	0.995	0.0	0.0	0.0	0.0	1.0	1.0
107	0.999	0.999	1.0	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
108	0.981	0.999	1.0	1.0	0.998	0.0	0.0	0.0	0.0	1.0	1.0
109	0.944	0.997	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
110	0.86	0.998	0.999	1.0	0.997	0.0	0.0	0.0	0.0	1.0	1.0
111	0.972	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
112	0.986	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
113	0.971	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	0.999
114	0.987	1.0	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
115	0.983	1.0	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
116	0.994	1.0	0.999	1.0	1.0	0.0	0.0	0.0	0.0	0.991	0.99
117	0.987	1.0	0.999	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
118	0.993	1.0	0.999	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.987
119	0.998	1.0	0.999	1.0	1.0	0.0	0.0	0.0	0.0	0.999	1.0
120	0.998	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
121	0.999	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
122	0.99	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
123	0.985	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	0.999
124	0.991	0.999	0.999	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
125	0.981	0.997	0.982	1.0	0.999	0.0	0.0	0.0	0.0	1.0	1.0
126	0.873	0.985	0.985	1.0	0.998	0.0	0.0	0.0	0.0	1.0	1.0
127	0.816	0.963	0.977	1.0	0.998	0.0	0.0	0.0	0.0	1.0	1.0
128	0.743	0.983	0.959	1.0	0.995	0.0	0.0	0.0	0.0	1.0	1.0
129	0.875	0.953	0.947	1.0	0.995	0.0	0.0	0.0	0.0	1.0	1.0
130	0.957	0.981	0.947	1.0	0.994	0.0	0.0	0.0	0.0	1.0	1.0
131	0.992	0.976	0.981	1.0	0.965	0.0	0.0	0.0	0.0	1.0	1.0
132	0.876	0.915	0.984	1.0	0.902	0.0	0.0	0.0	0.0	1.0	1.0
133	0.833	0.958	0.995	0.999	0.9	0.0	0.0	0.0	0.0	1.0	1.0
134	0.891	0.961	0.996	0.999	0.885	0.0	0.0	0.0	0.0	1.0	1.0
135	0.81	0.926	0.983	0.999	0.869	0.0	0.0	0.0	0.0	1.0	1.0
136	0.816	0.939	0.931	0.999	0.84	0.0	0.0	0.0	0.0	1.0	1.0
137	0.637	0.933	0.902	0.999	0.951	0.0	0.0	0.0	0.0	1.0	1.0
138	0.54	0.926	0.982	0.999	0.984	0.0	0.0	0.0	0.0	1.0	1.0
139	0.774	0.942	0.953	0.999	0.999	0.0	0.0	0.0	0.0	1.0	1.0
140	0.649	0.969	0.968	0.999	0.996	0.0	0.0	0.0	0.0	1.0	1.0
141	0.721	0.964	0.973	0.999	0.983	0.0	0.0	0.0	0.0	1.0	1.0
