param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
57	3917.84	2555.62	4301.17	1283.88	2170.19	3199.65	2579.35	783.29	1525.99	13033.91	5207.53
58	3761.72	2465.28	4106.52	1192.97	2086.04	3079.09	2433.63	747.21	1464.05	12697.49	4933.83
59	3601.79	2379.75	3917.44	1126.12	1985.96	2911.39	2346.67	691.28	1394.31	12226.2	4650.36
60	3431.3	2269.29	3752.24	1099.82	1884.31	2776.3	2239.79	651.77	1319.9	11738.49	4389.76
61	3267.55	2133.41	3591.85	1066.31	1791.68	2661.95	2134.34	630.3	1266.28	11347.83	4233.3
62	3202.73	2058.05	3500.4	1034.41	1738.7	2582.65	2063.6	604.14	1227.02	11007.15	4079.94
63	3129.9	2003.73	3406.86	999.05	1695.59	2529.05	2003.49	600.14	1200.43	10754.82	4025.28
64	3082.72	1973.61	3353.83	1002.55	1669.06	2522.25	2006.36	595.62	1197.12	10682.11	4054.47
65	3155.11	2036.54	3474.96	1025.68	1724.13	2661.03	2117.16	625.46	1252.36	10953.31	4339.11
66	3366.95	2192.58	3747.93	1064.83	1856.76	2872.24	2271.33	698.61	1346.57	11389.14	4760.49
67	3437.9	2216.95	3834.59	1080.0	1891.66	2921.52	2317.7	741.19	1369.64	11404.35	4873.47
68	3459.99	2208.92	3849.24	1042.44	1897.49	2914.28	2325.85	744.1	1371.88	11364.03	4873.22
69	3417.7	2167.22	3790.26	1037.86	1862.77	2854.4	2295.86	721.93	1345.91	11163.57	4799.85
70	3321.63	2077.77	3652.87	1053.45	1791.76	2738.39	2227.99	684.41	1307.57	10876.35	4638.28
71	3190.9	1965.33	3490.6	1045.66	1702.56	2606.05	2140.36	632.19	1236.77	10529.97	4409.57
72	3036.98	1859.23	3376.12	1029.34	1631.69	2471.91	2040.51	593.13	1160.0	10011.66	4114.09
73	2929.83	1782.03	3285.53	1018.49	1568.7	2397.08	1915.92	553.31	1096.2	9546.82	3872.13
74	2881.88	1750.36	3234.18	1014.38	1538.15	2374.19	1874.86	537.75	1060.09	9279.1	3740.07
75	2890.99	1750.77	3217.35	1020.63	1534.57	2375.85	1864.84	532.95	1048.31	9160.29	3695.58
76	2931.9	1781.88	3234.09	1038.19	1567.01	2416.14	1893.05	532.24	1059.15	9237.36	3746.63
77	3034.57	1859.82	3340.89	1072.83	1631.82	2505.43	1946.9	550.43	1095.79	9548.47	3881.17
78	3200.67	1988.24	3588.05	1116.34	1723.23	2646.79	2051.69	584.0	1161.39	10084.24	4073.3
79	3461.22	2188.57	3917.35	1176.48	1875.51	2879.89	2193.86	636.95	1261.26	10814.91	4330.01
80	3668.84	2341.27	4106.19	1215.37	1993.82	3024.23	2323.5	687.88	1362.55	11560.14	4568.29
81	3733.78	2377.37	4144.91	1227.92	2040.9	3071.09	2421.66	719.65	1420.66	12163.97	4762.08
82	3815.18	2431.24	4230.49	1202.93	2085.47	3126.87	2511.01	760.23	1475.01	12698.95	5002.75
83	3861.36	2460.59	4285.26	1208.69	2126.27	3170.31	2576.45	781.1	1507.13	12976.74	5151.5
84	3833.01	2448.71	4261.56	1198.17	2119.31	3171.13	2591.58	781.7	1499.64	13016.61	5183.98
85	3836.81	2449.77	4253.96	1202.95	2096.54	3169.74	2603.4	775.41	1516.25	13082.99	5253.11
86	3830.66	2442.52	4243.28	1193.11	2075.43	3151.85	2599.36	772.08	1492.03	13036.25	5246.77
87	3780.13	2419.91	4192.37	1179.99	2043.72	3105.54	2562.97	769.82	1469.06	12873.64	5192.12
88	3743.3	2404.26	4169.47	1186.34	2050.85	3091.42	2534.35	743.63	1460.55	12766.36	5169.88
89	3797.64	2452.79	4228.39	1193.78	2128.19	3178.39	2573.97	758.71	1481.97	12879.26	5331.96
90	3924.76	2542.74	4363.2	1226.49	2207.08	3272.95	2678.6	794.67	1543.0	13005.06	5554.19
91	3929.33	2534.51	4357.87	1242.92	2202.22	3254.2	2665.09	787.09	1530.96	12832.96	5518.45
92	3908.9	2507.53	4316.32	1240.01	2171.91	3213.83	2626.39	766.87	1507.89	12672.58	5400.89
93	3862.72	2469.42	4215.43	1229.59	2135.29	3134.15	2543.79	761.1	1477.08	12463.26	5275.9
94	3797.76	2401.67	4112.05	1222.62	2074.16	3027.68	2477.05	734.34	1451.63	12242.07	5115.31
95	3737.24	2319.84	4012.11	1213.16	1985.63	2920.28	2390.1	704.9	1401.6	12010.09	4945.84
96	3654.41	2270.24	4001.94	1230.06	1937.64	2861.12	2340.33	680.22	1365.17	11814.79	4801.29
97	3642.53	2266.1	4001.5	1257.77	1939.98	2867.27	2323.82	657.44	1318.0	11681.52	4734.34
