param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
57	3475.43	2262.71	3801.62	1145.59	1910.51	2822.49	2284.23	689.09	1353.31	11570.67	4630.56
58	3318.54	2170.38	3611.78	1060.54	1827.23	2701.95	2145.91	654.37	1291.3	11198.91	4366.01
59	3158.25	2081.86	3426.29	995.29	1730.68	2542.27	2055.99	603.21	1222.76	10714.87	4093.06
60	2992.78	1974.99	3264.22	964.81	1634.58	2412.2	1951.88	566.23	1151.74	10229.18	3843.89
61	2837.68	1850.17	3111.12	930.08	1548.29	2302.88	1852.03	545.02	1099.75	9839.84	3687.39
62	2769.15	1778.39	3019.98	898.39	1497.14	2226.11	1783.96	520.77	1061.49	9507.96	3540.05
63	2698.79	1727.06	2932.11	865.55	1456.51	2174.19	1727.76	515.68	1035.58	9265.25	3480.89
64	2653.77	1698.34	2882.02	866.3	1431.62	2164.06	1726.27	510.88	1030.51	9184.9	3496.73
65	2717.74	1752.98	2986.43	886.89	1479.17	2281.85	1820.49	536.28	1077.77	9422.96	3737.67
66	2904.59	1889.4	3224.27	923.44	1594.58	2465.24	1955.47	598.8	1160.19	9822.75	4102.12
67	2970.62	1914.24	3303.58	938.61	1627.06	2511.51	1998.54	635.29	1182.13	9860.2	4205.67
68	2996.06	1912.14	3323.15	910.12	1635.41	2510.91	2009.88	638.95	1186.76	9851.0	4215.33
69	2963.24	1879.03	3276.62	907.09	1607.76	2463.02	1986.47	621.01	1166.13	9692.5	4157.63
70	2884.66	1805.63	3163.93	920.27	1549.49	2367.77	1930.9	590.14	1134.76	9457.89	4025.23
71	2779.43	1714.48	3032.74	914.83	1477.15	2260.49	1860.28	547.48	1077.33	9181.06	3840.07
72	2651.16	1626.13	2937.03	900.97	1418.06	2148.84	1777.09	515.01	1013.48	8749.16	3594.43
73	2560.93	1561.26	2860.41	891.4	1365.17	2085.74	1673.04	481.8	960.1	8359.31	3392.13
74	2522.3	1535.72	2819.01	888.36	1340.41	2067.57	1639.74	469.12	930.64	8141.43	3284.37
75	2534.41	1538.97	2809.86	895.16	1339.71	2072.38	1634.4	465.96	922.69	8058.65	3253.91
76	2576.37	1569.84	2832.17	912.56	1370.53	2111.79	1662.96	466.81	934.81	8149.75	3307.31
77	2674.04	1642.39	2933.77	945.75	1430.4	2195.19	1715.69	484.09	970.07	8449.98	3436.14
78	2823.45	1756.21	3150.64	986.03	1511.92	2321.12	1810.09	513.97	1028.99	8933.57	3611.62
79	3052.71	1930.61	3437.27	1040.69	1644.64	2524.21	1936.52	560.17	1116.92	9584.27	3842.93
80	3235.88	2064.15	3605.38	1076.96	1748.12	2652.19	2051.11	604.3	1205.13	10239.13	4055.8
81	3297.15	2098.8	3645.28	1090.03	1790.77	2696.61	2137.11	631.89	1256.11	10763.71	4226.41
82	3372.71	2148.58	3724.62	1072.33	1831.68	2748.93	2216.28	666.89	1304.24	11233.72	4436.72
83	3414.04	2174.85	3773.18	1078.22	1866.96	2787.21	2272.39	684.69	1332.01	11473.94	4564.01
84	3386.07	2162.15	3748.87	1067.9	1858.97	2784.48	2281.98	684.39	1324.06	11491.61	4584.59
85	3391.72	2164.61	3745.19	1072.75	1841.39	2785.21	2293.36	679.63	1338.76	11554.91	4645.18
86	3385.37	2157.82	3735.06	1064.17	1823.32	2769.48	2289.21	676.66	1318.25	11512.05	4638.21
87	3338.75	2136.05	3687.93	1051.59	1794.72	2727.56	2256.01	673.93	1297.38	11361.31	4586.35
88	3305.16	2121.11	3665.72	1055.72	1799.06	2713.52	2230.33	651.74	1289.12	11262.03	4563.63
89	3351.09	2161.88	3715.49	1062.23	1863.49	2786.17	2263.74	664.38	1307.23	11358.79	4699.0
90	3451.63	2233.35	3822.2	1087.66	1926.46	2860.93	2347.3	693.3	1355.91	11447.55	4876.44
91	3451.27	2223.92	3813.49	1099.77	1920.4	2842.33	2333.48	686.31	1344.36	11291.39	4841.2
92	3434.62	2201.77	3779.39	1097.45	1895.47	2809.14	2301.65	669.64	1325.38	11159.63	4744.36
93	3397.44	2170.9	3697.04	1089.18	1865.69	2744.03	2234.02	665.05	1300.3	10989.98	4642.44
94	3347.2	2117.1	3615.19	1084.65	1816.87	2658.63	2181.08	643.54	1280.61	10818.77	4514.46
95	3304.2	2053.92	3539.89	1079.33	1747.16	2575.13	2113.72	620.44	1241.98	10650.64	4384.04
96	3247.7	2020.51	3543.91	1097.55	1713.38	2535.2	2080.26	602.14	1216.51	10529.44	4281.04
97	3250.39	2025.02	3556.55	1124.9	1721.48	2549.67	2074.66	585.51	1182.38	10461.37	4242.92
98	3241.11	2016.96	3557.45	1137.45	1718.78	2548.6	2066.26	586.76	1171.67	10382.28	4212.82
99	3302.7	2062.69	3635.26	1166.66	1757.14	2609.94	2112.47	601.18	1192.88	10552.56	4294.9
100	3389.55	2124.79	3742.79	1199.28	1803.3	2688.05	2181.21	618.48	1227.99	10833.38	4415.72
101	3514.14	2206.55	3883.99	1239.1	1872.65	2785.26	2257.01	645.79	1272.63	11196.21	4588.65
102	3686.96	2328.93	4096.18	1294.9	1988.02	2935.1	2378.43	685.8	1349.24	11782.28	4837.51
103	3865.53	2457.8	4295.55	1339.34	2105.35	3104.1	2508.13	731.98	1443.59	12436.8	5100.14
104	4016.41	2559.69	4423.99	1368.59	2185.43	3245.29	2613.75	764.23	1518.39	13066.39	5313.26
105	4093.87	2612.94	4511.37	1384.72	2240.54	3311.23	2681.43	777.73	1557.53	13504.9	5450.51
106	4078.81	2618.68	4499.22	1372.14	2232.96	3273.56	2663.34	771.66	1552.16	13607.96	5454.92
107	4047.83	2608.27	4479.02	1354.65	2215.76	3230.6	2637.08	761.84	1540.45	13570.34	5400.42
108	3986.65	2573.21	4413.57	1337.05	2187.94	3177.32	2591.22	751.88	1528.35	13435.26	5333.4
109	3921.79	2541.75	4385.06	1318.86	2152.61	3131.27	2547.74	739.6	1502.11	13276.92	5269.02
110	3857.06	2494.21	4308.37	1301.92	2125.91	3080.1	2506.16	729.7	1478.91	13077.39	5203.26
111	3818.18	2470.66	4284.05	1294.11	2112.68	3056.67	2491.04	727.25	1467.92	12988.32	5198.96
112	3805.19	2461.89	4278.25	1295.08	2107.54	3066.7	2514.37	732.73	1480.68	13021.2	5254.93
113	3821.8	2476.64	4321.23	1301.98	2140.2	3129.18	2563.61	760.56	1508.95	13099.04	5401.07
114	3928.72	2557.91	4445.57	1310.09	2193.16	3224.35	2675.23	789.93	1560.34	13256.46	5648.36
