param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
59	2555.64	1716.38	2829.95	753.83	1470.88	2126.82	1674.88	507.47	988.45	8708.13	3211.1
60	2526.72	1695.69	2811.92	777.91	1438.93	2097.9	1658.91	492.83	968.97	8696.51	3145.27
61	2476.87	1632.05	2769.93	784.93	1402.39	2068.98	1626.6	491.38	959.53	8688.89	3145.52
62	2498.29	1611.36	2768.12	783.72	1391.86	2054.34	1611.24	480.37	953.72	8638.19	3110.79
63	2484.01	1594.18	2735.45	769.2	1377.58	2044.66	1588.73	486.66	949.85	8582.77	3136.68
64	2471.55	1586.07	2718.51	785.05	1368.15	2063.9	1613.9	488.24	960.01	8626.82	3213.64
65	2520.07	1633.86	2814.82	799.69	1411.46	2184.78	1709.37	513.89	1005.99	8817.75	3465.44
66	2664.06	1746.88	3017.26	814.69	1510.68	2345.1	1819.96	575.11	1073.88	9025.39	3793.47
67	2692.37	1744.22	3059.61	814.69	1524.6	2362.4	1838.96	610.2	1080.41	8897.25	3847.8
68	2673.13	1709.97	3031.29	762.42	1510.08	2324.17	1820.57	605.85	1066.62	8717.93	3790.69
69	2618.56	1660.48	2959.54	753.47	1469.3	2255.08	1782.69	581.53	1035.88	8476.17	3700.42
70	2517.77	1568.04	2817.24	767.38	1395.98	2135.53	1711.79	543.17	995.71	8173.07	3532.35
71	2370.87	1445.34	2638.16	753.83	1298.81	1991.05	1613.78	488.11	918.63	7772.31	3281.4
72	2223.01	1343.1	2529.99	739.67	1230.93	1861.46	1517.82	450.12	844.22	7274.4	2994.27
73	2125.61	1272.07	2449.52	732.29	1172.73	1793.95	1399.49	412.0	784.2	6842.31	2765.7
74	2071.88	1236.74	2392.17	726.12	1139.34	1766.72	1354.72	395.43	745.84	6555.18	2625.7
75	2054.58	1220.41	2347.88	722.98	1122.76	1748.57	1327.73	385.99	723.82	6347.54	2544.87
76	2048.53	1221.74	2315.82	723.82	1132.08	1753.65	1325.8	377.04	716.44	6266.71	2531.32
77	2077.33	1252.83	2345.83	732.17	1160.51	1787.53	1332.21	382.24	724.43	6329.39	2564.23
78	2173.52	1336.93	2520.31	750.8	1217.5	1876.47	1392.1	403.54	762.9	6630.07	2660.18
79	2353.81	1486.36	2766.18	782.39	1330.27	2049.38	1482.73	442.38	831.63	7090.84	2806.47
80	2494.66	1596.72	2885.61	797.51	1415.7	2143.64	1569.49	481.58	907.02	7611.5	2952.88
81	2515.83	1605.06	2878.83	794.49	1441.23	2157.67	1639.55	505.66	948.16	8068.16	3086.47
82	2549.47	1628.66	2914.77	752.5	1462.28	2177.64	1698.24	537.84	983.97	8442.53	3261.43
83	2577.42	1646.45	2950.58	751.77	1494.11	2207.4	1751.96	555.51	1009.02	8659.0	3385.1
84	2575.24	1651.17	2954.09	750.56	1500.04	2227.85	1783.9	560.71	1011.68	8786.9	3453.58
85	2564.59	1643.06	2931.47	750.2	1470.15	2215.63	1786.44	551.88	1022.69	8804.69	3502.83
86	2565.68	1640.4	2928.32	742.94	1452.6	2203.17	1787.05	549.82	1001.28	8782.3	3506.46
87	2543.18	1635.56	2906.54	739.79	1434.7	2177.88	1768.66	552.49	989.18	8713.94	3490.37
88	2524.54	1631.44	2902.55	752.62	1450.79	2177.4	1751.72	529.5	987.72	8667.83	3493.15
89	2572.94	1676.21	2955.3	757.94	1525.2	2259.92	1787.53	543.53	1006.84	8760.76	3647.06
90	2726.13	1782.69	3117.2	799.93	1616.92	2374.02	1908.9	584.07	1077.99	8974.21	3905.15
91	2754.56	1789.59	3136.68	824.86	1623.82	2373.17	1910.71	580.68	1075.21	8882.37	3902.25
92	2732.78	1761.76	3093.73	821.47	1592.84	2331.79	1871.14	560.23	1051.61	8717.44	3782.82
93	2680.88	1720.02	2986.88	809.01	1553.4	2247.82	1784.87	553.45	1018.58	8488.88	3649.96
94	2596.05	1639.67	2862.86	794.97	1482.49	2126.45	1705.37	523.2	985.42	8200.9	3462.05
95	2495.14	1532.22	2720.93	771.13	1374.08	1988.76	1592.48	486.66	919.72	7833.06	3236.99
96	2343.41	1438.93	2639.13	763.51	1292.16	1877.92	1498.46	449.88	856.56	7406.05	2997.65
97	2259.43	1389.08	2563.75	765.57	1259.0	1830.0	1435.66	414.42	781.42	7030.34	2831.52
98	2208.61	1354.23	2523.7	766.66	1236.26	1799.03	1400.09	408.98	753.1	6801.53	2740.65
99	2181.75	1345.28	2512.44	765.93	1232.75	1797.21	1390.9	408.62	739.43	6666.62	2700.48
100	2173.89	1348.79	2525.15	765.2	1232.99	1807.01	1401.54	409.71	738.1	6626.56	2691.28
101	2214.42	1377.83	2581.41	774.16	1262.64	1841.98	1422.48	423.38	749.35	6694.93	2748.88
102	2298.76	1446.8	2708.46	797.27	1340.8	1929.71	1489.27	449.88	793.64	6984.48	2878.35
103	2435.12	1552.19	2866.85	822.68	1443.53	2074.42	1595.02	491.74	876.89	7508.41	3086.47
104	2551.89	1633.74	2953.85	834.66	1508.02	2195.91	1680.57	519.21	941.86	8048.92	3253.81
105	2611.18	1676.33	3023.79	841.92	1557.75	2249.87	1740.34	529.5	975.86	8463.71	3372.51
106	2656.8	1723.77	3075.46	849.42	1580.02	2252.17	1759.46	533.37	994.14	8803.11	3465.68
107	2687.65	1754.5	3122.04	852.57	1592.84	2251.45	1771.56	533.49	1006.48	8987.4	3493.75
108	2689.1	1759.94	3121.32	858.13	1596.35	2243.58	1764.54	534.7	1021.12	9077.78	3516.5
109	2673.13	1761.52	3151.81	858.37	1584.37	2234.75	1752.08	530.83	1013.62	9096.42	3524.61
110	2660.91	1745.91	3127.73	861.4	1584.62	2222.41	1744.22	530.46	1011.2	9077.3	3535.98
111	2639.74	1733.81	3125.19	861.16	1581.35	2213.45	1742.52	532.04	1007.93	9056.49	3566.35
112	2624.13	1723.28	3118.29	862.37	1575.18	2225.67	1770.84	538.69	1023.42	9096.66	3634.23
113	2660.55	1751.48	3187.26	876.52	1622.73	2313.52	1840.89	575.23	1063.95	9245.73	3833.52
114	2798.37	1855.17	3346.5	889.35	1690.98	2435.0	1981.38	612.26	1129.41	9464.62	4144.37
115	2812.04	1838.47	3324.35	882.09	1707.19	2427.5	1979.68	631.38	1129.29	9368.67	4163.97
116	2776.83	1795.52	3258.41	878.7	1681.78	2389.87	1955.24	629.8	1119.61	9219.59	4078.91
117	2720.56	1741.43	3170.08	866.24	1635.44	2336.39	1919.42	608.75	1085.49	9014.98	3998.57
118	2639.13	1656.25	3038.67	856.56	1566.34	2240.8	1848.03	588.66	1048.34	8749.15	3847.32
119	2523.09	1560.29	2897.47	834.3	1490.96	2127.91	1754.14	557.2	992.93	8409.26	3628.18
120	2393.62	1469.3	2762.91	820.74	1404.81	2015.74	1650.32	520.54	927.34	7987.94	3385.1
121	2298.88	1401.78	2673.13	813.12	1335.96	1942.41	1582.56	493.92	870.23	7565.28	3188.11
122	2228.82	1363.06	2625.82	808.52	1307.28	1893.77	1537.18	476.14	842.04	7272.34	3053.31
123	2197.24	1350.0	2574.76	804.17	1291.31	1867.15	1510.81	469.36	817.72	7078.74	2975.87
124	2179.09	1343.95	2585.29	805.62	1290.1	1860.38	1501.73	468.03	805.62	6961.25	2948.41
125	2188.04	1350.24	2595.93	807.19	1296.15	1876.95	1508.51	469.36	803.8	6931.24	2952.64
126	2223.62	1380.25	2637.56	818.69	1315.15	1911.32	1535.61	484.97	822.68	7003.72	2998.02
127	2306.38	1427.8	2731.33	831.51	1370.93	1984.16	1580.74	502.27	852.32	7222.13	3105.59
128	2396.04	1494.96	2829.34	844.1	1422.96	2052.64	1632.29	520.9	892.25	7476.23	3222.71
129	2457.87	1550.37	2928.32	858.5	1488.18	2129.24	1696.66	540.14	925.04	7786.71	3351.58
130	2500.95	1597.93	2986.04	872.53	1522.78	2186.23	1738.89	551.76	954.69	8081.83	3452.98
131	2524.79	1631.68	3031.05	868.9	1545.41	2212.0	1749.9	557.08	981.92	8314.52	3475.72
132	2519.46	1636.77	3033.59	884.51	1543.11	2209.58	1747.0	559.38	995.1	8463.1	3485.89
133	2485.22	1616.8	3003.58	878.7	1529.92	2190.58	1737.32	535.42	988.81	8508.84	3468.46
134	2477.48	1602.52	2930.02	872.77	1508.75	2178.97	1711.3	545.83	982.88	8514.04	3453.22
135	2453.15	1593.69	2903.15	866.48	1511.41	2177.27	1701.86	547.4	980.22	8508.6	3487.46
136	2444.44	1605.31	2947.68	867.81	1517.82	2202.44	1742.76	541.23	994.02	8536.67	3556.92
137	2513.65	1667.5	3050.89	878.82	1557.03	2299.6	1835.81	568.34	1034.07	8695.3	3754.87
138	2678.58	1777.13	3224.41	881.0	1661.21	2429.2	1961.17	619.28	1098.68	9010.26	4064.51
139	2696.12	1763.7	3208.68	858.25	1624.79	2402.82	1970.61	623.39	1106.42	9057.58	4094.28
140	2671.44	1721.71	3146.85	878.22	1611.36	2356.11	1939.51	611.17	1089.24	8963.68	4022.52
141	2643.37	1680.57	3077.51	872.89	1562.72	2314.49	1905.87	604.52	1066.74	8816.66	3938.43
142	2574.28	1607.24	2970.19	855.71	1511.9	2244.55	1852.39	576.81	1037.7	8621.25	3805.93
143	2454.61	1514.44	2823.78	836.96	1433.0	2148.6	1762.73	548.98	985.67	8356.26	3612.21
144	2322.59	1422.11	2687.65	822.44	1351.57	2044.78	1672.1	518.12	928.92	8024.6	3392.6
145	2222.16	1360.52	2609.97	817.23	1308.01	1974.84	1590.18	503.6	873.98	7653.98	3204.68
146	2159.85	1321.2	2551.65	782.99	1284.42	1939.02	1542.02	483.03	848.94	7371.32	3051.86
147	2138.43	1300.87	2528.17	764.72	1275.58	1915.55	1519.64	476.14	817.48	7162.72	2975.87
148	2125.12	1290.59	2523.21	761.82	1264.69	1913.13	1512.02	474.8	802.59	7041.35	2936.91
149	2124.64	1292.52	2520.43	758.19	1252.35	1919.54	1521.7	480.73	800.29	6990.17	2933.52
150	2153.56	1317.93	2570.04	768.35	1271.59	1939.63	1542.14	492.47	812.39	7025.62	2962.08
151	2218.66	1367.9	2647.72	781.3	1319.02	2003.28	1587.04	509.65	836.47	7168.64	3042.91
152	2266.69	1419.57	2738.47	792.43	1388.6	2076.0	1679.0	525.02	865.76	7371.92	3112.6
153	2315.46	1455.87	2821.36	800.9	1466.52	2129.48	1711.67	552.0	900.72	7641.15	3219.33
154	2365.07	1489.39	2877.38	806.34	1487.82	2199.9	1755.35	563.98	918.51	7911.95	3293.14
155	2364.58	1504.76	2872.06	804.53	1501.97	2212.0	1762.61	559.02	941.86	8148.99	3313.34
156	2388.66	1526.9	2869.88	841.31	1504.27	2193.97	1747.6	548.49	950.7	8281.72	3306.08
157	2366.4	1529.8	2843.26	796.18	1514.56	2179.21	1728.61	534.94	940.05	8323.95	3281.76
158	2364.94	1519.16	2791.59	811.18	1474.63	2165.3	1712.15	523.81	935.45	8316.21	3275.47
159	2367.24	1538.39	2789.41	780.09	1460.35	2157.19	1652.98	525.14	935.94	8296.0	3292.17
160	2347.76	1549.65	2803.21	815.06	1463.74	2187.92	1637.49	540.51	950.58	8332.54	3369.73
161	2423.02	1625.39	2922.63	803.2	1552.43	2299.0	1867.03	569.91	1008.66	8559.3	3626.13
162	2571.37	1721.47	3081.14	842.89	1618.74	2433.43	1990.69	617.83	1078.11	8853.33	3937.1
163	2579.48	1700.05	3059.0	846.03	1622.0	2406.81	1924.38	621.34	1071.7	8901.73	3944.12
164	2533.38	1648.62	2987.13	817.6	1606.88	2348.13	1862.55	612.99	1047.62	8799.85	3860.26
165	2466.95	1588.73	2882.22	818.56	1568.4	2271.9	1818.75	593.63	1027.05	8645.57	3756.08
166	2380.07	1505.12	2741.98	797.87	1476.44	2150.53	1737.08	559.02	995.35	8393.53	3569.98
